filter_file,telescope,camera,filter,surveys,description,wavelength_region
vista_z.xml,The 4.1m Visible and Infrared Survey Telescope for Astronomy (VISTA),The VISTA InfraRed CAMera (VIRCAM),Z,,,opt
wfc3_f098m.xml,Hubble Space Telescope (HST),The Wide Field Camera 3 (WFC3),f098m,,,opt
wfc3_f105w.xml,Hubble Space Telescope (HST),The Wide Field Camera 3 (WFC3),f105w,,,opt
wfc3_f125w.xml,Hubble Space Telescope (HST),The Wide Field Camera 3 (WFC3),f125w,,,opt
wfc3_f140w.xml,Hubble Space Telescope (HST),The Wide Field Camera 3 (WFC3),f140w,,,opt
wfc3_f160w.xml,Hubble Space Telescope (HST),The Wide Field Camera 3 (WFC3),f160w,,,opt
wfc_g.xml,Isaac Newton Telescope (INT),The Wide Field Camera (WFC),g,,,opt
wfc_i.xml,Isaac Newton Telescope (INT),The Wide Field Camera (WFC),i,,,opt
wfc_r.xml,Isaac Newton Telescope (INT),The Wide Field Camera (WFC),r,,,opt
wfc_u.xml,Isaac Newton Telescope (INT),The Wide Field Camera (WFC),u,,,opt
wfc_z.xml,Isaac Newton Telescope (INT),The Wide Field Camera (WFC),z,,,opt
wfi_416nm.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),416nm,,,opt
wfi_461nm.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),461nm,,,opt
wfi_485nm.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),485nm,,,opt
wfi_518nm.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),518nm,,,opt
wfi_571nm.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),571nm,,,opt
wfi_604nm.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),604nm,,,opt
wfi_646nm.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),646nm,,,opt
wfi_696nm.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),696nm,,,opt
wfi_753nm.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),753nm,,,opt
wfi_815nm.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),815nm,,,opt
wfi_856nm.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),856nm,,,opt
wfi_914nm.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),914nm,,,opt
wfi_b.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),B/99,,,opt
wfi_b123.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),B/123,,,opt
wfi_i.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),i,,,opt
wfi_r.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),Rc/162,,,opt
wfi_u.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),u,,,opt
wfi_v.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),V/89,,,opt
wircam_h.xml,Canada France Hawaii Telescope (CFHT),Wide-field InfraRed Camera (WIRCam),H,,,IR
wircam_j.xml,Canada France Hawaii Telescope (CFHT),Wide-field InfraRed Camera (WIRCam),J,,,IR
wircam_ks.xml,Canada France Hawaii Telescope (CFHT),Wide-field InfraRed Camera (WIRCam),Ks,,,IR
wircam_y.xml,Canada France Hawaii Telescope (CFHT),Wide-field InfraRed Camera (WIRCam),Y,,,IR
wircs_j.xml,Palomar 200-inch Hale Telescope (P200),Wide Infrared Camera (WIRC),J,,,IR
wircs_k.xml,Palomar 200-inch Hale Telescope (P200),Wide Infrared Camera (WIRC),Ks,,,IR
